Masked Input[11]: d1, Masked Output[11]: 62
Masked Input[12]: f2, Masked Output[12]: 09
Masked Input[13]: 61, Masked Output[13]: 55
Masked Input[14]: 12, Masked Output[14]: 6b
Masked Input[15]: 62, Masked Output[15]: d4
Masked Input[0]: a2, Masked Output[0]: 3d
Masked Input[1]: c2, Masked Output[1]: 79
Masked Input[2]: 5d, Masked Output[2]: 33
Masked Input[3]: 62, Masked Output[3]: 28
Masked Input[4]: 06, Masked Output[4]: af
Masked Input[5]: 1f, Masked Output[5]: 81
Masked Input[6]: 2d, Masked Output[6]: 97
Masked Input[7]: 89, Masked Output[7]: 04
Masked Input[8]: 43, Masked Output[8]: ff
Masked Input[9]: 19, Masked Output[9]: b6
Masked Input[10]: c3, Masked Output[10]: 9d
Masked Input[11]: f1, Masked Output[11]: bc
Masked Input[12]: 7e, Masked Output[12]: ad
Masked Input[13]: 45, Masked Output[13]: a1
Masked Input[14]: 6b, Masked Output[14]: 5a
Masked Input[15]: 96, Masked Output[15]: 90
Masked Input[0]: 53, Masked Output[0]: b0
Masked Input[1]: 35, Masked Output[1]: 2d
Masked Input[2]: af, Masked Output[2]: be
Masked Input[3]: 37, Masked Output[3]: dd
Masked Input[4]: c7, Masked Output[4]: b6
Masked Input[5]: 15, Masked Output[5]: 0e
Masked Input[6]: 84, Masked Output[6]: 64
Masked Input[7]: cb, Masked Output[7]: 41
Masked Input[8]: 63, Masked Output[8]: 06
Masked Input[9]: 92, Masked Output[9]: 66
Masked Input[10]: 42, Masked Output[10]: 44
Masked Input[11]: 27, Masked Output[11]: b0
Masked Input[12]: 2c, Masked Output[12]: 4c
Masked Input[13]: af, Masked Output[13]: a5
Masked Input[14]: 9a, Masked Output[14]: 99
Masked Input[15]: 81, Masked Output[15]: e8
plaintext : 00000000 00000000 00000000 00000000
Masked Input[0]: 95, Masked Output[0]: d5
Masked Input[1]: 60, Masked Output[1]: 33
Masked Input[2]: b4, Masked Output[2]: 4c
Masked Input[3]: 97, Masked Output[3]: 7c
Masked Input[4]: d3, Masked Output[4]: 9b
Masked Input[5]: 65, Masked Output[5]: db
Masked Input[6]: eb, Masked Output[6]: 46
Masked Input[7]: d6, Masked Output[7]: 8d
Masked Input[8]: f3, Masked Output[8]: 86
Masked Input[9]: 4d, Masked Output[9]: dd
Masked Input[10]: 1c, Masked Output[10]: 34
Masked Input[11]: 82, Masked Output[11]: 4f
Masked Input[12]: dc, Masked Output[12]: fa
Masked Input[13]: 3c, Masked Output[13]: ec
Masked Input[14]: f8, Masked Output[14]: 83
Masked Input[15]: 56, Masked Output[15]: db
Masked Input[0]: ad, Masked Output[0]: a0
Masked Input[1]: 35, Masked Output[1]: 4b
Masked Input[2]: c5, Masked Output[2]: 5f
Masked Input[3]: 32, Masked Output[3]: db
Masked Input[4]: 77, Masked Output[4]: a3
Masked Input[5]: d8, Masked Output[5]: d8
Masked Input[6]: 0a, Masked Output[6]: 79
Masked Input[7]: fa, Masked Output[7]: 5d
Masked Input[8]: 6c, Masked Output[8]: 3e
Masked Input[9]: 1e, Masked Output[9]: eb
Masked Input[10]: c3, Masked Output[10]: a1
Masked Input[11]: 0a, Masked Output[11]: cf
Masked Input[12]: 54, Masked Output[12]: 40
Masked Input[13]: 62, Masked Output[13]: a2
Masked Input[14]: ff, Masked Output[14]: db
Masked Input[15]: 8a, Masked Output[15]: 7a
Masked Input[0]: ec, Masked Output[0]: 01
Masked Input[1]: 56, Masked Output[1]: a9
Masked Input[2]: 26, Masked Output[2]: 5c
Masked Input[3]: 5c, Masked Output[3]: 34
Masked Input[4]: c9, Masked Output[4]: 21
Masked Input[5]: 97, Masked Output[5]: b4
Masked Input[6]: 56, Masked Output[6]: 67
